region,state,line_code,factor,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,1999_percent_change,2000_percent_change,2001_percent_change,2002_percent_change,2003_percent_change,2004_percent_change,2005_percent_change,2006_percent_change,2007_percent_change,2008_percent_change,2009_percent_change,2010_percent_change,2011_percent_change,2012_percent_change,2013_percent_change,2014_percent_change,2015_percent_change,2016_percent_change,2017_percent_change,2018_percent_change,2019_percent_change,2020_percent_change,2021_percent_change,2022_percent_change
,District of Columbia,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,134298.8,138056.8,138867.4,137762.3,142676.3,144029.6,,,,,,,,,,,,,,,,,,,,0.02798238,0.005871496,-0.007957951,0.035670136,0.009485107
,District of Columbia,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,35121.3,35401.9,37023.1,39115,40381.8,39771.6,41606.2,45162.5,47313.5,49311.5,49662.2,50934.9,52002.4,53695.2,49299,,,,,,,,,,,0.007989454,0.045794152,0.056502562,0.032386552,-0.015110768,0.046128393,0.085475242,0.04762801,0.042228962,0.007111931,0.025627137,0.020958125,0.032552344,-0.08187324
,District of Columbia,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,33318.5,32619.3,33428.4,33989.3,35324.2,35811.7,36612.6,38244.7,39353.3,41134.1,42099.6,43837.3,40430.3,43468.7,43982.5,,,,,,,,,,,-0.020985338,0.024804334,0.016779146,0.039274125,0.013800737,0.022364199,0.04457755,0.028987023,0.045251605,0.02347201,0.041275927,-0.077719203,0.075151557,0.011819999
,District of Columbia,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,134298.8,141240.2,145171,146935.3,156139.9,165060.5,,,,,,,,,,,,,,,,,,,,0.05168624,0.027830603,0.012153254,0.062643898,0.057132098
,District of Columbia,5,  Personal income,21514.7,22625.2,24827.6,25742.9,25863.4,26138.6,28379.7,29880.4,31606.5,34095.7,35167.5,35540,38212.4,41361.1,42582.3,43213.8,46124,49741.7,52190.6,54158.7,56395.7,57492.3,60178.6,65205.6,64472.8,0.051615872,0.097342786,0.03686623,0.004680902,0.010640519,0.085739098,0.052879347,0.057766964,0.078755952,0.031435049,0.010592166,0.075194147,0.082399954,0.029525327,0.014830105,0.067344228,0.078434221,0.049232334,0.037709856,0.041304536,0.019444745,0.046724518,0.083534678,-0.011238299
,District of Columbia,6,  Disposable personal income,18239.4,19040.6,20802.5,21629.8,22356.7,22646.5,24563.9,25516.2,26908,28669.4,29810.1,30977.9,33528.2,35780.5,36504.6,36636.6,39080.4,41864.1,44223.5,45919.1,47652.8,48178.2,50520.6,53687.2,51461.9,0.043926884,0.092533849,0.039769259,0.033606413,0.012962557,0.084666505,0.038768274,0.05454574,0.065460086,0.039788067,0.039174642,0.082326433,0.067176287,0.02023728,0.003615983,0.066703788,0.07123008,0.056358551,0.038341606,0.037755531,0.011025585,0.0486195,0.062679382,-0.041449359
,District of Columbia,7,  Personal consumption expenditures,19936.5,21239,22598.2,23350.2,24355.2,25661.4,27467.8,29000.6,30639.4,32114.9,33389.8,32788.1,34550.3,35991.9,37299,38960.6,40640.2,42193,43503.2,45283.3,47906,49573.5,46913.2,52905,57595.3,0.06533243,0.06399548,0.033276987,0.043040317,0.053631257,0.070393665,0.055803523,0.056509176,0.048156948,0.039698084,-0.018020473,0.053745109,0.041724674,0.036316505,0.044548111,0.043110219,0.038208473,0.031052544,0.040918829,0.057917599,0.034807749,-0.053663752,0.127720983,0.088655137
,District of Columbia,8,  Real per capita personal income 4,,,,,,,,,,,60529,59777,61216,63314,63983,61685,63564,67849,70215,72416,72433,74097,77515,80287,73383,,,,,,,,,,,-0.012423797,0.024072804,0.034272086,0.010566383,-0.03591579,0.030461214,0.067412372,0.034871553,0.031346578,0.000234755,0.022972954,0.046128723,0.03576082,-0.085991505
,District of Columbia,9,  Real per capita PCE 5,,,,,,,,,,,57422,55079,55272,55017,55970,55543,55935,57456,58402,60407,61403,63772,60266,64996,65469,,,,,,,,,,,-0.040803176,0.003504058,-0.004613548,0.017321919,-0.007629087,0.007057595,0.027192277,0.016464773,0.034331016,0.016488155,0.038581177,-0.054977106,0.078485381,0.007277371
,District of Columbia,10,  Per capita personal income 6,38064,39679,43401,44809,45124,45978,49986,52686,55384,59358,60609,60011,63182,66950,67470,67024,70466,74728,77453,79535,82254,83636,89703,97498,95970,0.042428541,0.093802767,0.032441649,0.007029838,0.018925627,0.087172126,0.054015124,0.05120905,0.071753575,0.021075508,-0.009866521,0.052840313,0.059637238,0.00776699,-0.006610345,0.051354739,0.06048307,0.036465582,0.026880818,0.034186207,0.016801615,0.072540533,0.086897874,-0.015672116
,District of Columbia,11,  Per capita disposable personal income 7,32269,33392,36365,37650,39006,39835,43265,44991,47151,49912,51376,52307,55437,57917,57840,56823,59705,62894,65630,67434,69502,70087,75306,80275,76603,0.034801202,0.089033301,0.035336175,0.036015936,0.021253141,0.086105184,0.039893678,0.048009602,0.058556552,0.029331624,0.018121302,0.059839027,0.044735465,-0.001329489,-0.017582988,0.050718899,0.053412612,0.043501765,0.02748743,0.030667023,0.008417024,0.074464594,0.065984118,-0.045742759
,District of Columbia,12,  Per capita personal consumption expenditures (PCE) 8,35271,37247,39504,40644,42493,45139,48380,51135,53689,55910,57545,55364,57127,58259,59099,60427,62088,63388,64561,66501,69871,72117,69929,79105,85732,0.056023362,0.060595484,0.028857837,0.04549257,0.06226908,0.071800439,0.056945019,0.049946221,0.041367878,0.029243427,-0.037900773,0.031843797,0.019815499,0.014418373,0.022470769,0.027487712,0.020938023,0.01850508,0.030049101,0.05067593,0.032144953,-0.030339587,0.131218808,0.08377473
,District of Columbia,13,  Regional price parities (RPPs) 9,,,,,,,,,,,112.385,113.041,114.189,114.103,111.696,113.585,114.291,113.386,112.475,110.087,111.51,109.247,110.895,111.658,112.847,,,,,,,,,,,0.005837078,0.010155607,-0.000753137,-0.021094976,0.016911975,0.006215609,-0.007918384,-0.008034502,-0.021231385,0.01292614,-0.020294144,0.015085082,0.006880382,0.010648588
,District of Columbia,14,  Implicit regional price deflator 10,,,,,,,,,,,100.214,100.518,103.356,105.892,105.59,108.793,111.001,110.324,110.545,110.087,113.792,113.085,116.035,121.708,130.951,,,,,,,,,,,0.003033508,0.028233749,0.024536553,-0.002851962,0.030334312,0.020295423,-0.006099044,0.002003191,-0.004143109,0.0336552,-0.006213091,0.026086572,0.048890421,0.075944063
,District of Columbia,15,  Total employment (number of jobs),698434,711478,735304,741793,757395,754584,763451,769777,777513,788384,794904,795923,809128,826749,834391,848230,860668,873204,892796,902843,914319,915212,866085,869738,904759,0.018676067,0.033488035,0.008824921,0.021032822,-0.003711406,0.011750845,0.008286059,0.010049664,0.01398176,0.008270082,0.001281916,0.016590801,0.021777766,0.009243434,0.016585749,0.014663476,0.014565431,0.022436911,0.011253411,0.012710959,0.000976683,-0.053678273,0.004217831,0.040266149
,United States,1,  Real GDP (millions of chained 2017 dollars) 1,,,,,,,,,,,,,,,,,,,,19612102,20193896,20692087,20234074,21407692,21822037,,,,,,,,,,,,,,,,,,,,0.029665051,0.024670376,-0.022134693,0.058002061,0.019354959
,United States,2,  Real personal income (millions of constant (2017) dollars) 2,,,,,,,,,,,13932319.4,13560629.2,13862567.5,14331132.5,14709774.5,14682820.3,15216230.2,15896447.7,16162029.4,16658962,17163074,17720998,18741358.9,19626220.8,18803662.1,,,,,,,,,,,-0.026678272,0.022265803,0.033800737,0.026420941,-0.001832401,0.036328845,0.044703418,0.016706984,0.030746918,0.030260709,0.03250723,0.057579201,0.047214394,-0.041911212
,United States,3,  Real PCE (millions of constant (2017) dollars) 3,,,,,,,,,,,11270735.8,11123596.9,11335603.3,11528483.8,11686117.9,11889925.2,12226445.7,12638789,12949012.2,13290625.5,13654925.4,13928263.5,13576965,14718156.7,15090796.8,,,,,,,,,,,-0.013054951,0.019059159,0.01701546,0.013673446,0.01744012,0.028302996,0.033725525,0.024545326,0.026381418,0.02741029,0.020017546,-0.025221988,0.08405352,0.025318395
,United States,4,  Gross domestic product (GDP),,,,,,,,,,,,,,,,,,,,19612102,20656516,21521395,21322950,23594031,25744108,,,,,,,,,,,,,,,,,,,,0.053253547,0.041869549,-0.009220824,0.106508762,0.091128006
,United States,5,  Personal income,7584003,7978449,8620234,8990104,9146700,9474684,10008929,10540800,11291446,11925044,12423410,12058253,12547501,13299818,13905749,14063283,14778160,15467113,15884741,16658962,17514402,18343601,19609985,21392812,21820248,0.052010264,0.08043982,0.042907188,0.017418708,0.035858178,0.056386577,0.053139652,0.07121338,0.056113097,0.041791544,-0.029392655,0.040573705,0.059957517,0.045559345,0.011328696,0.050832867,0.046619674,0.027001031,0.04873992,0.051350138,0.047343837,0.069036827,0.090914246,0.019980356
,United States,6,  Disposable personal income,6552573,6867565,7384984,7752177,8095517,8472238,8961305,9329615,9935978,10434213,10917599,10907346,11311497,11848163,12398279,12387353,12994137,13527926,13927450,14611591,15442207,16146403,17355580,18651847,18684871,0.048071498,0.075342425,0.04972157,0.044289494,0.04653452,0.057725833,0.041100041,0.064993357,0.050144535,0.046327021,-0.000939126,0.037053102,0.047444295,0.046430489,-0.000881251,0.048984153,0.041079219,0.029533278,0.04912177,0.056846376,0.045602031,0.07488832,0.074688774,0.001770549
,United States,7,  Personal consumption expenditures,5877248.2,6283757.5,6767179.3,7073801,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857,11047363.2,11388233.3,11874450.4,12297437.8,12726848.8,13290625.5,13934441.7,14417614,14206231.3,16042964.3,17511744.6,0.069166604,0.076931963,0.045310119,0.038895609,0.053314976,0.063457784,0.065246416,0.057950242,0.050592431,0.031138048,-0.015807322,0.03730963,0.042747549,0.032574153,0.030855336,0.042694691,0.03562164,0.034918737,0.044298216,0.048441377,0.03467468,-0.01466142,0.129290659,0.091552925
,United States,8,  Real per capita personal income 4,,,,,,,,,,,45816,44204,44808,45956,46795,46357,47659,49394,49826,51004,52240,53662,56533,59110,56419,,,,,,,,,,,-0.035184215,0.013663922,0.025620425,0.018256593,-0.009359974,0.028086373,0.036404457,0.008746002,0.023642275,0.024233393,0.027220521,0.053501547,0.045583995,-0.045525292
,United States,9,  Real per capita PCE 5,,,,,,,,,,,37063,36260,36640,36969,37176,37539,38295,39272,39921,40691,41562,42177,40955,44328,45279,,,,,,,,,,,-0.021665812,0.010479868,0.008979258,0.005599286,0.009764364,0.020139055,0.025512469,0.016525769,0.019288094,0.021405225,0.01479717,-0.028973137,0.082358686,0.021453709
,United States,10,  Per capita personal income 6,27493,28592,30551,31548,31801,32659,34183,35669,37843,39588,40854,39307,40557,42649,44237,44401,46287,48060,48971,51004,53309,55547,59153,64430,65470,0.039973812,0.068515669,0.032633956,0.008019526,0.026980284,0.046664013,0.043471901,0.060949284,0.046111566,0.031979388,-0.037866549,0.031800951,0.051581724,0.037234167,0.003707304,0.042476521,0.038304492,0.018955472,0.041514366,0.045192534,0.041981654,0.064917997,0.089209338,0.016141549
,United States,11,  Per capita disposable personal income 7,23754,24611,26173,27204,28146,29204,30605,31571,33300,34639,35902,35555,36562,37994,39442,39109,40700,42034,42937,44735,47002,48894,52353,56175,56062,0.036078134,0.063467555,0.03939174,0.034627261,0.037589711,0.04797288,0.03156347,0.054765449,0.04021021,0.036461792,-0.0096652,0.028322318,0.039166348,0.038111281,-0.008442777,0.040681173,0.032776413,0.021482609,0.041875306,0.050676204,0.040253606,0.070744877,0.073004412,-0.002011571
,United States,12,  Per capita personal consumption expenditures (PCE) 8,21306,22519,23983,24823,25550,26682,28114,29674,31092,32356,33049,32243,33164,34309,35144,35955,37192,38211,39236,40691,42413,43659,42853,48318,52542,0.05693232,0.065011768,0.035024809,0.029287354,0.044305284,0.05366914,0.055488369,0.047785941,0.040653544,0.021417975,-0.02438803,0.02856434,0.034525389,0.024337637,0.023076485,0.034404116,0.027398365,0.026824736,0.037083291,0.04231894,0.029377785,-0.018461257,0.127528994,0.087420837
,United States,13,  Regional price parities (RPPs) 9,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,United States,14,  Implicit regional price deflator 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
