min_payment_within_5_years_of_chargeoff_predicted,obj1_predicted_proba,region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image
1,0.9056264983812968,northeast,1,Dormant Judgment,651.51,1,0,1,708.51,1,355.0,0,1,1,0,1,0,1,0
1,0.5305236546993255,southeast,1,Dormant Judgment,,0,1,1,2877.68,1,12.0,1,0,1,0,0,0,1,1
0,0.20716814649105073,southeast,1,Dormant Judgment,,0,1,1,2775.41,1,1.0,1,0,1,0,0,0,0,1
1,0.5438291356563568,southeast,1,Dormant Judgment,,0,0,1,4250.14,1,17.0,1,1,1,0,1,0,1,1
0,0.30316560685634614,southeast,1,Dormant Judgment,,0,1,1,3642.15,1,5.0,1,1,1,1,0,0,1,1
0,0.1813898830215136,southeast,1,Dormant Judgment,,0,1,1,2692.37,1,76.0,1,0,1,0,0,0,0,1
0,0.25651803974310555,southeast,1,Dormant Judgment,,0,1,1,2969.98,1,32.0,1,1,1,1,0,0,1,1
0,0.24711025230089823,southeast,1,Dormant Judgment,,0,1,1,6000.0,1,71.0,1,0,1,0,0,0,0,1
0,0.2854778501192729,southeast,1,Dormant Judgment,,0,1,1,3591.2,1,30.0,0,1,1,1,1,0,1,1
1,0.5233200670083363,southeast,1,Suit,7232.12,1,0,0,,0,1119.0,1,1,1,0,1,0,0,0
1,0.7826724635759988,southeast,1,Suit,11486.16,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7158671987851459,southeast,1,Suit,11625.88,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.6130874006748199,midwest,1,Suit,5727.48,1,0,0,,0,1091.0,1,1,1,0,0,0,0,0
1,0.5656773947874705,southeast,1,Suit,54236.16,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.4602760366598765,southwest,1,Suit,5421.62,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6522201534907023,midwest,1,Suit,12904.64,1,1,1,10007.06,1,913.0,1,1,1,0,0,0,1,1
1,0.626773080031077,southwest,1,Suit,11347.42,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6780291772683462,northeast,1,Suit,7474.13,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7227479696273804,southeast,1,Suit,13722.63,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.6907797924677531,northeast,1,Suit,20480.18,1,0,0,,0,,1,0,1,0,0,0,0,0
1,0.5383322681585948,midwest,1,Suit,5603.74,1,1,1,5603.74,1,1194.0,1,1,1,0,0,0,1,1
1,0.5469789056777954,midwest,1,Suit,10158.32,1,1,1,10158.32,1,1300.0,1,1,1,0,0,0,1,1
1,0.5856640938123067,northeast,1,Suit,9361.41,1,0,1,7762.32,1,878.0,1,1,1,1,0,0,1,0
0,0.411463660399119,southwest,1,Suit,9416.38,1,1,1,10684.26,1,1423.0,1,1,1,0,0,0,1,1
1,0.6067073105971019,midwest,1,Suit,9123.49,1,1,1,7509.15,1,1056.0,1,1,1,0,1,0,1,1
0,0.49872136942545575,southeast,1,Suit,4868.97,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6263877984682719,midwest,1,Suit,8311.27,1,1,1,6751.14,1,1169.0,1,1,1,0,1,0,1,1
1,0.6152540168762206,southeast,1,Suit,9191.62,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.7669157188733419,midwest,1,Suit,26391.07,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5671864305337271,midwest,1,Suit,4607.72,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7842459824879965,midwest,1,Suit,12618.45,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7108143112659454,midwest,1,Suit,43738.45,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7431990275382995,midwest,1,Suit,11386.91,1,1,1,9712.68,1,931.0,1,1,1,0,0,0,1,1
1,0.5038056155840556,northeast,1,Suit,4790.44,1,1,1,4983.25,1,1158.0,1,1,1,0,0,0,1,0
1,0.6932881791591644,midwest,1,Suit,7728.8,1,1,1,6073.09,1,1093.0,1,1,1,0,0,0,1,1
1,0.6062331151962281,midwest,1,Suit,6894.35,1,0,0,,0,,1,1,1,0,0,0,0,0
0,0.46122510472933453,southeast,1,Suit,6752.62,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6804278388023377,midwest,1,Suit,7554.45,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5578408701817195,northeast,1,Suit,9772.47,1,1,1,7853.55,1,1156.0,1,1,1,0,1,0,1,0
1,0.7715341982841492,midwest,1,Suit,14573.73,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.687171153863271,southeast,1,Suit,16747.46,1,0,0,,0,,1,0,1,0,0,0,0,0
1,0.730283796787262,southeast,1,Suit,13544.57,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.6912941312789918,midwest,1,Suit,9115.46,1,1,1,6971.83,1,870.0,1,1,1,0,0,0,1,1
1,0.592622315009435,midwest,1,Suit,11816.21,1,0,0,,0,,1,0,1,0,0,0,0,0
0,0.4626317482789358,southeast,1,Suit,4401.2,1,0,1,,0,,1,1,1,0,1,0,0,0
1,0.7051524415810904,midwest,1,Suit,19791.48,1,1,1,17737.06,1,1164.0,1,1,1,0,1,0,1,1
1,0.6785935413042705,northeast,1,Suit,20962.94,1,0,0,,0,,1,1,1,0,1,0,0,0
0,0.44197837583223964,southwest,1,Suit,6711.49,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.6465705635547638,midwest,1,Suit,16670.77,1,1,1,16670.77,1,1241.0,1,1,1,0,1,0,1,1
1,0.5889805770715077,southeast,1,Suit,7728.54,1,0,0,,0,,1,1,1,0,1,0,0,0
1,0.7570012755393981,southeast,1,Suit,11766.34,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7526457959810893,southeast,1,Suit,13761.51,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.5495984894434611,southwest,1,Suit,10152.95,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.7596136822700501,southeast,1,Suit,13332.19,1,0,0,,0,,1,1,1,0,0,0,0,0
1,0.6295406529903411,northeast,1,Suit,6200.63,1,0,0,,0,,1,1,1,0,0,0,0,0
