data_id,region,data_state,account_status,purchasegroup,consumer_dob,chargeoff_age,working_age,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,data_bal_total,chargeoff_date,chargeoff_date_bom,chargeoffamt,chargeoffamt_present,judgment_status,judgment_active,acct_post_judgment,judgment_date,days_between_chargeoff_and_judgment,judgment_amount,judgment_amount_present,chargeoff_precovid(2020-03-01),judgment_precovid(2020-03-01),total_transactions,num_payments,num_reversals,net_num_payments,sum_pay_amount,avg_pay_amount,min_pay_date,max_pay_date,payment_duration_days,avg_days_between_payments,avg_monthly_payment(duration>=365days),days_between_chargeoff_and_min_pay_date,days_between_chargeoff_and_max_pay_date,days_between_judgment_and_min_pay_date,days_between_judgment_and_max_pay_date,min_payment_within_5_years_of_chargeoff,closed_w_max_pmt_within_5_yrs_of_min_pmt,max_pmt_within_5_yrs_of_min_pmt_within_5_yrs_of_chargeoff
288,northeast,NJ,Placement (3); Active,Dormant Judgment,01/01/1956,49,1,1,0,1,0,0,0,0,0,8077.49,2004-10,01/10/2004,7053.56,1,Active,1,1,31/01/2007,852,7252.58,1,1,1,,,,,,,,,,,,,,,,0,,
489,west,WA,Closed (9); SIF,Dormant Judgment,01/01/1982,25,1,1,0,1,0,0,0,0,1,1753,2006-12,01/12/2006,,0,Dormant,0,1,23/07/2008,600,2878.66,1,1,1,3,3,0,3,2593.52,864.5066667,24/10/2012,24/10/2012,1,0,,2154,2154,1554,1554,0,1,
505,west,CA,Closed (9); SIF,Dormant Judgment,01/01/1964,43,1,1,0,1,0,0,0,1,0,1079.49,2006-09,01/09/2006,,0,Satisfied,0,1,25/09/2009,1120,1549.43,1,1,1,8,8,0,8,1000,125,30/04/2012,30/12/2012,245,30.5,,2068,2312,948,1192,0,1,
583,midwest,OH,Closed (9); SIF,Dormant Judgment,01/01/1962,35,1,1,1,1,0,0,0,1,1,38.85,1997-06,01/06/1997,,0,Satisfied,0,1,07/06/2002,1832,1674.91,1,1,1,7,7,0,7,2542.12,363.16,07/06/2016,04/06/2018,728,103.8571,106.2836627,6946,7673,5114,5841,0,1,
747,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1921,83,0,1,0,1,0,0,0,1,1,3162.47,2004-05,01/05/2004,,0,Active,1,1,17/10/2005,534,1639.44,1,1,1,11,8,3,5,250,50,07/03/2007,30/10/2007,238,47.4,,1040,1277,506,743,1,0,
841,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1966,35,1,1,1,1,0,1,0,1,1,4450.1,2001-05,01/05/2001,,0,Dormant,0,1,16/01/2004,990,2881.63,1,1,1,4,3,1,2,472.57,236.285,05/02/2007,14/02/2008,375,187,38.35630157,2106,2480,1116,1490,0,0,
874,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1968,38,1,1,0,1,0,0,0,1,1,4710.3,2005-09,01/09/2005,,0,Dormant,0,1,16/02/2007,533,3545.59,1,1,1,1,1,0,1,172.39,172.39,30/05/2007,30/05/2007,1,0,,636,636,103,103,1,0,
947,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1956,43,1,1,0,1,0,0,0,1,1,1579.53,1998-08,01/08/1998,,0,Dormant,0,1,10/07/2007,3265,1219.7,1,1,1,,,,,,,,,,,,,,,,0,,
1038,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1952,51,1,1,1,1,0,0,0,1,1,20444.94,2003-06,01/06/2003,,0,Active,1,1,30/05/2006,1094,7794.35,1,1,1,,,,,,,,,,,,,,,,0,,
1070,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1958,45,1,1,1,1,0,0,0,0,1,6114.41,2002-09,01/09/2002,,0,Active,1,1,27/07/2006,1425,2276.38,1,1,1,,,,,,,,,,,,,,,,0,,
1090,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1959,43,1,1,0,1,1,0,0,1,1,4511.01,2002-06,01/06/2002,,0,Active,1,1,04/10/2006,1586,1780.08,1,1,1,,,,,,,,,,,,,,,,0,,
1128,southeast,FL,Placement (3); Active,Dormant Judgment,01/01/1952,52,1,1,0,1,0,1,0,1,1,14392.71,2004-03,01/03/2004,,0,Active,1,1,04/01/2007,1039,5004.21,1,1,1,,,,,,,,,,,,,,,,0,,
1532,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1955,47,1,1,0,1,0,0,0,1,1,1597.18,2002-05,01/05/2002,,0,Dormant,0,1,12/05/2003,376,1231.78,1,1,1,,,,,,,,,,,,,,,,0,,
1535,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1956,45,1,1,0,1,0,0,0,1,1,2268,2000-07,01/07/2000,,0,Dormant,0,1,16/05/2003,1049,1518.93,1,1,1,,,,,,,,,,,,,,,,0,,
1540,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1956,44,1,1,0,1,0,0,0,1,1,1449.45,1999-10,01/10/1999,,0,Dormant,0,1,22/05/2003,1329,1120.59,1,1,1,,,,,,,,,,,,,,,,0,,
1618,midwest,OH,Placement (3); Active,Dormant Judgment,01/01/1958,43,1,1,0,1,0,0,0,1,1,2111.66,2001-05,01/05/2001,,0,Dormant,0,1,13/08/2003,834,1636.64,1,1,1,,,,,,,,,,,,,,,,0,,
