region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,min_payment_within_5_years_of_chargeoff
northeast,1,Dormant Judgment,7053.56,1,1,1,7252.58,1,852.0,1,0,1,0,0,0,0,0,0
west,1,Dormant Judgment,,0,0,1,2878.66,1,600.0,1,0,1,0,0,0,0,1,0
west,1,Dormant Judgment,,0,0,1,1549.43,1,1120.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,0,1,1674.91,1,1832.0,1,1,1,0,0,0,1,1,0
southeast,0,Dormant Judgment,,0,1,1,1639.44,1,534.0,1,0,1,0,0,0,1,1,1
midwest,1,Dormant Judgment,,0,0,1,2881.63,1,990.0,1,1,1,0,1,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,3545.59,1,533.0,1,0,1,0,0,0,1,1,1
midwest,1,Dormant Judgment,,0,0,1,1219.7,1,3265.0,1,0,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,7794.35,1,1094.0,1,1,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,2276.38,1,1425.0,1,1,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,,0,1,1,1780.08,1,1586.0,1,0,1,1,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,5004.21,1,1039.0,1,0,1,0,1,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,1231.78,1,376.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,1518.93,1,1049.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,1120.59,1,1329.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,1636.64,1,834.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,7634.14,1,700.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,0,1734.89,1,732.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,0,1,2268.98,1,702.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,2228.78,1,513.0,1,1,1,0,1,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,5548.55,1,562.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,3677.14,1,962.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,1358.08,1,666.0,1,1,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,0,1,5010.4,1,866.0,0,1,1,0,1,0,1,0,0
midwest,1,Dormant Judgment,,0,0,1,8040.36,1,674.0,1,0,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1507.21,1,2116.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,0,1,6264.57,1,1405.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,0,1,7334.27,1,1873.0,1,1,1,1,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,3486.47,1,1854.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,1404.13,1,1712.0,1,1,1,0,1,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,1739.92,1,1988.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,5659.24,1,1885.0,1,1,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,4853.29,1,1718.0,1,1,1,1,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,13467.73,1,1697.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,1299.65,1,1798.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,2281.21,1,2387.0,1,1,1,1,1,0,0,1,0
midwest,1,Dormant Judgment,,0,1,1,1005.61,1,1751.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,2013.84,1,1495.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,5009.0,1,2170.0,1,1,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,2477.67,1,823.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,4109.16,1,966.0,1,1,1,0,1,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,1507.64,1,734.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1279.41,1,1515.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,6652.44,1,800.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1526.62,1,1201.0,1,1,1,1,0,1,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1152.58,1,818.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,4923.76,1,1739.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,4085.26,1,1312.0,1,1,1,1,0,1,1,0,0
northeast,1,Dormant Judgment,,0,1,1,944.86,1,334.0,1,1,1,0,1,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,1336.56,1,583.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1311.22,1,329.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,4533.08,1,876.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,5336.59,1,1432.0,0,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,2191.85,1,709.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,4061.9,1,1163.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1239.98,1,499.0,0,0,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,3182.42,1,1410.0,1,1,1,0,0,0,1,1,0
midwest,0,Dormant Judgment,,0,1,1,1779.84,1,1809.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,3517.89,1,1411.0,0,1,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,5839.06,1,4702.0,0,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,5502.24,1,1510.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,2853.47,1,0,1,3015.47,1,1587.0,1,1,1,1,0,0,0,1,0
southeast,1,Dormant Judgment,,0,1,1,2245.1,1,1704.0,1,1,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,1967.08,1,0,1,1967.08,1,204.0,1,1,1,1,0,0,0,1,0
southeast,1,Dormant Judgment,3400.3,1,0,1,3557.8,1,583.0,1,1,1,0,0,1,1,1,0
midwest,1,Dormant Judgment,,0,0,1,3051.8,1,1041.0,1,0,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,5203.09,1,1009.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,2436.21,1,1682.0,1,0,1,0,0,0,1,0,0
southeast,1,Dormant Judgment,,0,1,1,2612.49,1,1159.0,1,0,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,1971.68,1,1142.0,0,1,1,0,1,0,1,1,0
midwest,1,Dormant Judgment,,0,0,1,3846.75,1,1068.0,1,0,1,0,0,0,1,0,0
southeast,1,Dormant Judgment,,0,1,1,2352.14,1,1374.0,1,0,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,1557.65,1,983.0,1,0,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,1756.18,1,872.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,1209.08,1,1706.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,280.67,1,1,1,1086.82,1,866.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,1604.49,1,2185.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,0,0,600.0,1,1149.0,0,1,1,0,1,0,0,1,1
midwest,1,Dormant Judgment,,0,1,1,2839.07,1,1108.0,1,0,1,0,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,2117.48,1,2032.0,1,1,1,1,0,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,4270.6,1,2579.0,1,0,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,1616.03,1,723.0,1,0,1,0,0,0,1,1,0
southeast,1,Dormant Judgment,4476.63,1,1,1,5215.91,1,571.0,1,1,1,1,0,0,1,1,0
northeast,1,Dormant Judgment,1279.28,1,0,1,1528.14,1,764.0,1,1,1,1,1,0,0,0,0
northeast,1,Dormant Judgment,,0,1,1,1610.23,1,2156.0,1,1,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1359.47,1,918.0,0,1,1,0,1,0,1,0,0
midwest,1,Dormant Judgment,,0,1,1,1868.08,1,1256.0,0,1,1,1,0,1,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1271.74,1,893.0,1,1,1,1,0,0,1,0,0
northeast,1,Dormant Judgment,724.26,1,1,1,839.82,1,784.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,7076.09,1,0,1,12359.75,1,867.0,1,1,1,1,0,0,1,0,0
northeast,1,Dormant Judgment,4149.39,1,1,1,5079.28,1,713.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,11616.87,1,433.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,3015.54,1,2021.0,1,1,1,1,0,0,1,0,0
midwest,1,Dormant Judgment,,0,0,1,1386.98,1,1578.0,0,1,1,0,1,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,4677.9,1,1468.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,970.03,1,1445.0,0,1,1,0,1,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,10003.32,1,590.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,35609.95,1,1569.0,0,1,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,1747.14,1,1944.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,1589.56,1,1,1,2851.8,1,1033.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,2735.64,1,1,1,3536.55,1,1514.0,1,1,1,0,0,1,1,0,0
northeast,1,Dormant Judgment,,0,1,1,4757.12,1,1289.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,22081.31,1,1279.0,1,1,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1529.82,1,1368.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,7931.97,1,1098.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,1142.79,1,1785.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,3308.72,1,1,1,4024.17,1,661.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,8733.92,1,1376.0,1,0,1,0,0,0,1,0,0
southeast,1,Dormant Judgment,,0,1,1,22802.69,1,2503.0,1,1,1,0,0,0,0,1,0
northeast,1,Dormant Judgment,,0,1,1,1816.85,1,843.0,1,1,1,1,0,0,0,1,0
northeast,1,Dormant Judgment,608.99,1,1,1,1239.18,1,706.0,1,1,1,0,0,0,0,1,0
northeast,1,Dormant Judgment,7947.94,1,1,1,9420.6,1,860.0,1,1,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,,0,1,1,19050.26,1,720.0,1,1,1,0,1,0,1,1,0
west,1,Dormant Judgment,1936.29,1,0,1,2675.19,1,966.0,1,1,1,0,0,0,0,1,0
northeast,1,Dormant Judgment,,0,1,1,1046.41,1,838.0,1,1,1,1,1,0,0,1,0
southwest,1,Dormant Judgment,,0,0,1,14240.06,1,591.0,1,1,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,910.79,1,1,1,1233.11,1,1011.0,1,1,1,0,1,0,0,1,0
southeast,1,Dormant Judgment,3219.66,1,1,1,3367.32,1,271.0,1,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,2113.92,1,0,1,2521.36,1,1327.0,1,0,0,0,0,0,0,1,0
southeast,1,Dormant Judgment,1373.58,1,1,1,1867.63,1,1445.0,1,1,1,0,0,0,0,1,0
southeast,1,Dormant Judgment,,0,1,1,2774.81,1,712.0,1,1,1,0,0,0,0,1,0
southwest,1,Dormant Judgment,2902.67,1,0,1,4367.54,1,1468.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,697.82,1,1,1,1152.82,1,161.0,1,1,1,0,1,0,1,1,0
west,0,Dormant Judgment,7976.73,1,0,1,11635.87,1,1366.0,1,1,1,0,0,0,0,1,0
west,1,Dormant Judgment,,0,0,1,1915.91,1,715.0,0,1,1,0,0,0,0,1,0
west,1,Dormant Judgment,998.17,1,0,1,2116.96,1,718.0,0,1,1,0,0,0,0,1,0
west,1,Dormant Judgment,1588.47,1,0,1,3335.0,1,1955.0,1,1,1,0,1,0,1,1,0
west,0,Dormant Judgment,2157.13,1,0,1,2855.82,1,990.0,0,1,1,0,0,0,0,1,0
northeast,1,Dormant Judgment,1761.3,1,1,1,1961.19,1,1064.0,1,0,1,1,0,0,0,1,0
southwest,1,Dormant Judgment,3475.95,1,0,1,3510.9,1,834.0,1,1,1,1,1,0,1,1,0
northeast,1,Dormant Judgment,6181.85,1,0,0,6419.98,1,1673.0,1,1,0,0,0,0,1,0,0
west,1,Dormant Judgment,4000.25,1,0,1,8899.42,1,3862.0,0,1,1,0,0,0,1,1,0
southwest,1,Dormant Judgment,2036.21,1,0,1,3121.69,1,1541.0,1,0,0,0,0,0,1,1,0
midwest,0,Dormant Judgment,,0,1,1,1277.38,1,1700.0,1,0,1,0,0,0,0,0,0
midwest,1,Dormant Judgment,5209.73,1,1,1,5209.73,1,531.0,1,1,1,1,0,0,0,0,0
northeast,1,Dormant Judgment,3698.29,1,1,1,4332.21,1,969.0,1,1,1,0,0,0,0,1,0
southwest,1,Dormant Judgment,2883.21,1,0,1,4207.42,1,1183.0,1,0,0,0,0,0,0,1,0
southwest,1,Dormant Judgment,1631.91,1,0,1,3462.16,1,1263.0,1,0,0,0,0,0,0,1,0
northeast,1,Dormant Judgment,811.35,1,1,1,949.97,1,1310.0,1,1,1,0,1,0,0,1,0
southwest,1,Dormant Judgment,,0,0,1,6525.49,1,764.0,1,1,0,0,0,0,0,1,0
west,1,Dormant Judgment,,0,0,1,3407.84,1,1008.0,1,1,1,0,0,0,1,1,0
midwest,1,Dormant Judgment,,0,1,1,1311.23,1,1100.0,1,1,1,0,0,0,0,1,0
midwest,1,Dormant Judgment,,0,0,1,2760.67,1,2272.0,1,0,1,0,0,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,14335.56,1,2517.0,0,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,1430.13,1,1,1,1430.13,1,1205.0,1,1,0,0,0,0,0,1,0
southwest,1,Dormant Judgment,,0,0,1,4765.29,1,657.0,1,1,0,0,0,0,1,1,0
southeast,1,Dormant Judgment,2140.24,1,0,1,1389.46,1,890.0,1,0,1,0,0,0,0,1,0
west,1,Dormant Judgment,3426.85,1,0,1,4138.03,1,396.0,1,1,1,0,1,0,0,1,0
southeast,1,Dormant Judgment,5847.34,1,1,1,6510.64,1,1288.0,1,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,,0,0,0,3394.75,1,427.0,1,1,0,0,0,0,1,1,0
west,1,Dormant Judgment,5113.09,1,1,1,13300.97,1,4029.0,1,1,1,0,0,0,1,1,0
west,1,Dormant Judgment,14242.38,1,0,1,18272.58,1,735.0,1,1,1,0,0,0,1,1,0
west,1,Dormant Judgment,3382.94,1,0,1,7000.45,1,1341.0,0,1,1,0,1,0,1,1,0
southwest,1,Dormant Judgment,,0,0,1,3229.01,1,1310.0,1,0,0,0,0,0,0,1,0
west,1,Dormant Judgment,,0,0,1,2492.28,1,613.0,0,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1309.5,1,1190.0,1,0,1,0,0,0,1,0,0
northeast,1,Dormant Judgment,,0,1,1,2258.0,1,1302.0,1,1,1,0,1,0,1,0,0
northeast,1,Dormant Judgment,,0,0,1,1428.31,1,1026.0,1,1,1,0,1,0,1,1,0
southeast,1,Dormant Judgment,,0,1,1,2516.8,1,1701.0,0,1,1,0,1,0,1,1,0
northeast,1,Dormant Judgment,,0,1,1,1968.32,1,1405.0,1,1,1,0,0,0,1,1,1
