region,working_age,purchasegroup,chargeoffamt,chargeoffamt_present,judgment_active,acct_post_judgment,judgment_amount,judgment_amount_present,days_between_chargeoff_and_judgment,agency_ever,legal_ever,wage_garnishable_state,bank_account_found,FT_job_found,PT_job_found,verification_completed,contains_judgment_image,days_between_chargeoff_and_min_pay_date,days_between_judgment_and_min_pay_date,avg_days_between_payments,avg_monthly_payment(duration>=365days),avg_pay_to_chargeoff_ratio,avg_pay_to_judgment_ratio,closed_w_max_pmt_within_5_yrs_of_min_pmt
west,1,Dormant Judgment,,0,0,1,2878.66,1,600.0,1,0,1,0,0,0,0,1,2154.0,1554.0,0.0,,,0.30031565613862005,1
west,1,Dormant Judgment,,0,0,1,1549.43,1,1120.0,1,0,1,0,0,0,1,0,2068.0,948.0,30.5,,,0.08067482880801327,1
midwest,1,Dormant Judgment,,0,0,1,1674.91,1,1832.0,1,1,1,0,0,0,1,1,6946.0,5114.0,103.8571,106.2836627,,0.21682359052128175,1
southeast,0,Dormant Judgment,,0,1,1,1639.44,1,534.0,1,0,1,0,0,0,1,1,1040.0,506.0,47.4,,,0.030498218904016005,0
midwest,1,Dormant Judgment,,0,0,1,2881.63,1,990.0,1,1,1,0,1,0,1,1,2106.0,1116.0,187.0,38.35630157,,0.08199699475643993,0
midwest,1,Dormant Judgment,,0,0,1,3545.59,1,533.0,1,0,1,0,0,0,1,1,636.0,103.0,0.0,,,0.048620962942697826,0
midwest,1,Dormant Judgment,,0,0,1,5010.4,1,866.0,0,1,1,0,1,0,1,0,6480.0,5614.0,9.0357,,,0.05596145730879771,1
northeast,1,Dormant Judgment,,0,1,1,1526.62,1,1201.0,1,1,1,1,0,1,1,0,2129.0,928.0,936.4,12.27300693,,0.24738441786430154,0
northeast,1,Dormant Judgment,,0,1,1,3182.42,1,1410.0,1,1,1,0,0,0,1,1,1830.0,420.0,29.12,54.51229123,,0.016410530351116445,0
midwest,1,Dormant Judgment,2853.47,1,0,1,3015.47,1,1587.0,1,1,1,1,0,0,0,1,4004.0,2417.0,0.0,,0.7009010082461005,0.663246525417265,1
southeast,1,Dormant Judgment,,0,1,1,2245.1,1,1704.0,1,1,1,0,0,0,0,1,3762.0,2058.0,17.1,,,0.08874682642198566,1
southeast,1,Dormant Judgment,1967.08,1,0,1,1967.08,1,204.0,1,1,1,1,0,0,0,1,3948.0,3744.0,0.0,,2.367565121906582,2.367565121906582,1
southeast,1,Dormant Judgment,3400.3,1,0,1,3557.8,1,583.0,1,1,1,0,0,1,1,1,6563.0,5980.0,0.0,,0.5881833955827427,0.5621451458766653,1
southeast,1,Dormant Judgment,,0,1,1,2612.49,1,1159.0,1,0,1,0,0,0,1,1,4050.0,2891.0,0.0,,,0.02004983751133976,0
southeast,1,Dormant Judgment,,0,1,1,1971.68,1,1142.0,0,1,1,0,1,0,1,1,5356.0,4214.0,13.6818,,,0.10520907875517325,1
midwest,1,Dormant Judgment,,0,0,0,600.0,1,1149.0,0,1,1,0,1,0,0,1,1716.0,567.0,927.3333,7.633588661,,0.3876944445,0
northeast,1,Dormant Judgment,1279.28,1,0,1,1528.14,1,764.0,1,1,1,1,1,0,0,0,3710.0,2946.0,283.7273,19.54753443,0.14248355606278532,0.11927988508906251,0
northeast,1,Dormant Judgment,,0,1,1,1359.47,1,918.0,0,1,1,0,1,0,1,0,5580.0,4662.0,22.5,,,0.3143063105474928,1
northeast,1,Dormant Judgment,,0,1,1,4757.12,1,1289.0,1,0,1,0,0,0,1,0,2111.0,822.0,0.0,,,0.04068638167630836,0
northeast,1,Dormant Judgment,,0,1,1,1142.79,1,1785.0,1,0,1,0,0,0,1,0,5994.0,4209.0,0.0,,,0.09928333289580762,0
southeast,1,Dormant Judgment,,0,1,1,22802.69,1,2503.0,1,1,1,0,0,0,0,1,3351.0,848.0,6.9359,396.583566,,0.00396506300616287,0
northeast,1,Dormant Judgment,,0,1,1,1816.85,1,843.0,1,1,1,1,0,0,0,1,2146.0,1303.0,0.0,,,0.649151003109778,1
northeast,1,Dormant Judgment,608.99,1,1,1,1239.18,1,706.0,1,1,1,0,0,0,0,1,1873.0,1167.0,28.0,,0.5611955861344192,0.2757973014412757,1
northeast,1,Dormant Judgment,7947.94,1,1,1,9420.6,1,860.0,1,1,1,0,0,0,0,1,3726.0,2866.0,0.0,,0.4089109882560764,0.3449886419124047,1
west,1,Dormant Judgment,1936.29,1,0,1,2675.19,1,966.0,1,1,1,0,0,0,0,1,2751.0,1785.0,9.7619,,0.0996480997164681,0.07212482814304778,1
northeast,1,Dormant Judgment,,0,1,1,1046.41,1,838.0,1,1,1,1,1,0,0,1,2609.0,1771.0,37.25,,,0.13570445618830093,1
southwest,1,Dormant Judgment,,0,0,1,14240.06,1,591.0,1,1,1,0,0,0,1,1,2418.0,1827.0,17.7407,490.1512675,,0.020076607739012334,1
northeast,1,Dormant Judgment,910.79,1,1,1,1233.11,1,1011.0,1,1,1,0,1,0,0,1,3442.0,2431.0,0.0,,1.8884704487313213,1.394847175028992,1
southwest,1,Dormant Judgment,2113.92,1,0,1,2521.36,1,1327.0,1,0,0,0,0,0,0,1,3101.0,1774.0,20.3333,,0.2561875567665758,0.21478884411587393,1
southeast,1,Dormant Judgment,1373.58,1,1,1,1867.63,1,1445.0,1,1,1,0,0,0,0,1,2808.0,1363.0,17.3077,,0.14088619628998675,0.10361713053442062,1
southeast,1,Dormant Judgment,,0,1,1,2774.81,1,712.0,1,1,1,0,0,0,0,1,2048.0,1336.0,36.8182,270.7873435,,0.11833865118692811,1
southwest,1,Dormant Judgment,2902.67,1,0,1,4367.54,1,1468.0,1,0,0,0,0,0,0,1,3404.0,1936.0,6.6667,,0.3244139591135058,0.2156057338227011,1
northeast,1,Dormant Judgment,697.82,1,1,1,1152.82,1,161.0,1,1,1,0,1,0,1,1,3613.0,3452.0,5.7179,,0.08473458367487317,0.05129117050363457,1
